State_ID,ZIPCode,ReportingDate,TypeCC,Participation,Rating,AccrdStatus,PreKStandard,QualityMeasure,HeadStart,MonthlyAmtPaid
126979,75224,10/01/2023,4,1,4st,2,9,0,9,36464
126979,75224,11/01/2023,4,1,4st,2,9,0,9,35334
126979,75224,12/01/2023,4,1,4st,2,9,0,9,28882
521475,77004,10/01/2023,4,1,4st,2,9,0,9,746
521475,77004,11/01/2023,4,1,4st,2,9,0,9,591
521475,77004,12/01/2023,4,1,4st,2,9,0,9,592
1048067,78617,10/01/2023,,1,4st,2,9,0,9,11793
1048067,78617,11/01/2023,,1,4st,2,9,0,9,11807
1048067,78617,12/01/2023,4,1,4st,2,9,0,9,12687
856324,78232,10/01/2023,4,1,4st,2,9,0,9,31424
856324,78232,11/01/2023,4,1,4st,2,9,0,9,29953
856324,78232,12/01/2023,4,1,4st,2,9,0,9,28391
1779204,75212,10/01/2023,8,7,999,9,9,9,9,0
1779204,75212,11/01/2023,8,7,999,9,9,9,9,0
1779204,75212,12/01/2023,8,7,999,9,9,9,9,0
403460,77015,10/01/2023,4,0,999,9,9,9,9,17484
403460,77015,11/01/2023,4,0,999,9,9,9,9,17371
403460,77015,12/01/2023,4,0,999,9,9,9,9,16593
1714180,78009,10/01/2023,4,0,999,9,9,9,9,12453
1714180,78009,11/01/2023,4,0,999,9,9,9,9,13132
1714180,78009,12/01/2023,4,0,999,9,9,9,9,9352
1718788,78574,10/01/2023,4,1,3st,2,9,0,9,17218
1718788,78574,11/01/2023,4,1,3st,2,9,0,9,16063
1718788,78574,12/01/2023,4,1,3st,2,9,0,9,14910
1784580,76308,10/01/2023,4,0,999,9,9,9,9,2530
1784580,76308,11/01/2023,4,0,999,9,9,9,9,2453
1784580,76308,12/01/2023,4,0,999,9,9,9,9,1736
1653764,77095,10/01/2023,4,1,4st,2,9,0,9,27297
1653764,77095,11/01/2023,4,1,4st,2,9,0,9,25303
1653764,77095,12/01/2023,4,1,4st,2,9,0,9,24355
1785092,75686,10/01/2023,4,0,999,9,9,9,9,890
1785092,75686,11/01/2023,4,0,999,9,9,9,9,1566
1785092,75686,12/01/2023,4,0,999,9,9,9,9,3297
869124,77611,10/01/2023,4,1,3st,2,9,0,9,1922
869124,77611,11/01/2023,4,1,3st,2,9,0,9,2341
869124,77611,12/01/2023,4,1,3st,2,9,0,9,2729
1656324,77028,10/01/2023,4,0,999,9,9,9,9,14346
1656324,77028,11/01/2023,4,0,999,9,9,9,9,20056
1656324,77028,12/01/2023,4,0,999,9,9,9,9,22239
1595396,77551,10/01/2023,4,0,999,9,9,9,9,29774
1595396,77551,11/01/2023,4,0,999,9,9,9,9,27605
1595396,77551,12/01/2023,4,0,999,9,9,9,9,27121
1663748,77598,10/01/2023,4,1,4st,2,9,0,9,66913
1663748,77598,11/01/2023,4,1,4st,2,9,0,9,72387
1663748,77598,12/01/2023,4,1,4st,2,9,0,9,72735
551940,76137,10/01/2023,4,0,999,9,9,9,9,35575
551940,76137,11/01/2023,4,0,999,9,9,9,9,37327
551940,76137,12/01/2023,4,0,999,9,9,9,9,34232
1668100,78251,10/01/2023,4,1,4st,2,9,0,9,36380
1668100,78251,11/01/2023,4,1,4st,2,9,0,9,35413
1668100,78251,12/01/2023,4,1,4st,2,9,0,9,35477
34308,78705,10/01/2023,4,1,4st,2,9,0,9,2176
34308,78705,11/01/2023,,1,4st,2,9,0,9,1294
34308,78705,12/01/2023,4,1,4st,2,9,0,9,2095
1618180,79915,10/01/2023,4,1,4st,2,9,0,9,25257
1618180,79915,11/01/2023,4,1,4st,2,9,0,9,24300
1618180,79915,12/01/2023,4,1,4st,2,9,0,9,22146
